Sock_ID,SockName,SockDescription
BH6432,Cushioned Crew Socks 3 Pairs,Multicolor/Quarter Length
BH6428,Cushioned Crew Socks 3 Pairs,Multicolor/Quarter Length
Q18127,Roller Crew Socks,Black/White/Crew Length
SX7667-901,Everyday Cushioned,Multicolor/Quarter Length
SX7166-012,SNKR Sox Essential,Wolf Grey/Black/White
SX7166-010,SNKR Sox Essential,Black/White/White
SX7166-100,SNKR Sox Essential,White/Black/Black
SX7039-916,Performance LIghtweight No-Show,Multicolor
A60-3,Cotton Low Cut Work Sock,Gray
A61-3,Cotton Quarter Work Sock,Black
